RF- F1,RF- ACC,RBF- F1,RBF- ACC,DT- F1,DT- ACC,kNN- F1,kNN- ACC
0.9982459371,0.99825,0.9671318685,0.959,0.9982459371,0.99825,1,1
0.9983751197,0.998375,0.9701925582,0.962625,0.9983751197,0.998375,1,1
0.997877233,0.997875,0.9687003736,0.9615,0.9978771829,0.997875,0.9995010233,0.9995
0.9975124714,0.9975,0.9672864769,0.95875,0.9975133169,0.9975,0.9993750776,0.999375
0.9978871023,0.997875,0.9684459765,0.96075,0.9978935336,0.997875,1,1
0.9976240297,0.997625,0.9652490257,0.957625,0.9976240165,0.997625,0.9996249675,0.999625
0.9978721102,0.997875,0.9681858051,0.9605,0.9978721102,0.997875,1,1
0.9980014009,0.998,0.9698496606,0.962375,0.9980014009,0.998,1,1
0.9977624699,0.99775,0.967264975,0.958625,0.9977622446,0.99775,0.999375113,0.999375
0.9983834408,0.998375,0.9673039825,0.95925,0.9983792125,0.998375,1,1